entity_id,entity_type,canonical_name,original_name,source_doc_id,method,confidence,evidence
CoQuan:chính phủ,CoQuan,Chính phủ,Chính phủ,112025,metadata,1.0,metadata.csv: Chính phủ
NguoiKy:nguyễn xuân phúc,NguoiKy,Nguyễn Xuân Phúc,Nguyễn Xuân Phúc,112025,metadata,1.0,metadata.csv: Nguyễn Xuân Phúc
LinhVuc:chưa phân loại,LinhVuc,Chưa phân loại,Chưa phân loại,112025,metadata,1.0,metadata.csv: Chưa phân loại
"DoiTuongApDung:các cổ đông (hoặc thành viên) đã sở hữu từ 10% vốn điều lệ trở lên của doanh nghiệp bảo hiểm, doanh nghiệp môi giới bảo hiểm trước khi tăng vốn và không áp dụng đối với trường hợp",DoiTuongApDung,"các cổ đông (hoặc thành viên) đã sở hữu từ 10% vốn điều lệ trở lên của doanh nghiệp bảo hiểm, doanh nghiệp môi giới bảo hiểm trước khi tăng vốn và không áp dụng đối với trường hợp","các cổ đông (hoặc thành viên) đã sở hữu từ 10% vốn điều lệ trở lên của doanh nghiệp bảo hiểm, doanh nghiệp môi giới bảo hiểm trước khi tăng vốn và không áp dụng đối với trường hợp",112025,rule,0.85,"ệu chứng minh các cổ đông (hoặc thành viên) này đáp ứng điều kiện quy định tại Điều 7, Điều 8, Điều 9 Nghị định này (tương ứng với từng loại hình doanh nghiệp). Quy định này không áp dụng đối với các cổ đông (hoặc thành viên) đã sở hữu từ 10% vốn điều lệ trở lên của doanh nghiệp bảo hiểm, doanh nghiệp môi giới bảo hiểm trước khi tăng vốn và không áp dụng đối với trường hợp tăng vốn điều lệ theo phương thức chào bán cổ phần ra công chúng, chào bán cổ phần của công ty cổ phần niêm yết và đại chúng. 2. Hồ sơ đề nghị Bộ Tài chính chấp thuận về nguyên tắc để giảm vốn điều lệ (đối với doanh nghi"
DoiTuongApDung:trường hợp chuyển nhượng dưới 10% vốn điều lệ),DoiTuongApDung,trường hợp chuyển nhượng dưới 10% vốn điều lệ),trường hợp chuyển nhượng dưới 10% vốn điều lệ),112025,rule,0.85,"yền và lợi ích hợp pháp của bên mua bảo hiểm, người lao động và Nhà nước; b) Tuân thủ các quy định pháp luật có liên quan; c) Có sự chấp thuận bằng văn bản của Bộ Tài chính (không áp dụng đối với trường hợp chuyển nhượng dưới 10% vốn điều lệ); d) Tổ chức, cá nhân dự kiến góp vốn vào doanh nghiệp bảo hiểm, chi nhánh nước ngoài, doanh nghiệp môi giới bảo hiểm sau khi chia, tách, hợp nhất, sáp nhập, chuyển đổi hình thức, chuyển nhượng cổ phần, phần vốn góp phải"
DoiTuongApDung:chi nhánh nước ngoài),DoiTuongApDung,chi nhánh nước ngoài),chi nhánh nước ngoài),112025,rule,0.85,"a hạn; b) Tự nguyện giải thể, chấm dứt hoạt động nếu có khả năng thanh toán các khoản nợ; c) Bị thu hồi Giấy phép; d) Mất khả năng thanh toán theo quyết định của Bộ Tài chính (chỉ áp dụng đối với chi nhánh nước ngoài); đ) Doanh nghiệp bảo hiểm phi nhân thọ nước ngoài bị rút Giấy phép, hết thời hạn hoạt động hoặc bị giải thể, phá sản (chỉ áp dụng đối với chi nhánh nước ngoài). 2. Hồ sơ giải thể của doanh nghiệp bảo hiểm, doanh nghiệp"
DoiTuongApDung:việc gửi tiền vào các tổ chức tín dụng và nguồn vốn đầu tư ra nước ngoài dưới hình thức thành lập doanh nghiệp hoặc thành lập chi nhánh tại nước ngoài),DoiTuongApDung,việc gửi tiền vào các tổ chức tín dụng và nguồn vốn đầu tư ra nước ngoài dưới hình thức thành lập doanh nghiệp hoặc thành lập chi nhánh tại nước ngoài),việc gửi tiền vào các tổ chức tín dụng và nguồn vốn đầu tư ra nước ngoài dưới hình thức thành lập doanh nghiệp hoặc thành lập chi nhánh tại nước ngoài),112025,rule,0.85,"iên) là tổ chức tín dụng; d) Không được đầu tư quá 30% nguồn vốn đầu tư vào các công ty trong cùng một tập đoàn hay một nhóm công ty có quan hệ sở hữu lẫn nhau (quy định này không áp dụng đối với việc gửi tiền vào các tổ chức tín dụng và nguồn vốn đầu tư ra nước ngoài dưới hình thức thành lập doanh nghiệp hoặc thành lập chi nhánh tại nước ngoài); đ) Trường hợp ủy thác đầu tư, tổ chức nhận ủy thác phải được cơ quan có thẩm quyền cấp phép thực hiện hoạt động nhận ủy thác đầu tư phù hợp với nội dung nhận ủy thác đầu tư. Điều 60. Đầu tư từ nguồn vốn chủ sở hữu 1. V"
DoiTuongApDung:năm tài chính,DoiTuongApDung,năm tài chính,năm tài chính,112025,rule,0.85,"(trừ doanh nghiệp tái bảo hiểm) phải trích nộp Quỹ bảo vệ người được bảo hiểm. 2. Trước ngày 30 tháng 4 hàng năm, Bộ Tài chính công bố mức trích nộp Quỹ bảo vệ người được bảo hiểm áp dụng cho năm tài chính. Mức trích nộp tối đa không vượt quá 0,3% tổng doanh thu phí bảo hiểm giữ lại của các hợp đồng bảo hiểm gốc trong năm tài chính trước liền kề của doanh nghiệp bảo hiểm, chi nhánh nước ngoài. 3. Trước ngày 30 tháng 6 hàn"
"DoiTuongApDung:từng người được bảo hiểm, trừ trường hợp giữa những người được bảo hiểm và doanh nghiệp bảo hiểm có thỏa thuận khác tại hợp đồng bảo hiểm",DoiTuongApDung,"từng người được bảo hiểm, trừ trường hợp giữa những người được bảo hiểm và doanh nghiệp bảo hiểm có thỏa thuận khác tại hợp đồng bảo hiểm","từng người được bảo hiểm, trừ trường hợp giữa những người được bảo hiểm và doanh nghiệp bảo hiểm có thỏa thuận khác tại hợp đồng bảo hiểm",112025,rule,0.85,"ản; đ) Trong trường hợp hợp đồng bảo hiểm nhân thọ có nhiều người được bảo hiểm, hạn mức chi trả tối đa của Quỹ quy định tại điểm a, điểm b, điểm c và điểm d khoản 1 Điều này được áp dụng đối với từng người được bảo hiểm, trừ trường hợp giữa những người được bảo hiểm và doanh nghiệp bảo hiểm có thỏa thuận khác tại hợp đồng bảo hiểm. 2. Đối với hợp đồng bảo hiểm sức khỏe: a) Quỹ chi trả tối đa 90% mức trách nhiệm của doanh nghiệp bảo hiểm, chi nhánh nước ngoài nhưng không quá 200 triệu đồng/người được bảo hiểm/hợp đồng; b) Trong trường hợp hợp đồng"
"DoiTuongApDung:từng người được bảo hiểm, trừ trường hợp giữa những người được bảo hiểm và doanh nghiệp bảo hiểm, chi nhánh nước ngoài có thỏa thuận khác tại hợp đồng bảo hiểm",DoiTuongApDung,"từng người được bảo hiểm, trừ trường hợp giữa những người được bảo hiểm và doanh nghiệp bảo hiểm, chi nhánh nước ngoài có thỏa thuận khác tại hợp đồng bảo hiểm","từng người được bảo hiểm, trừ trường hợp giữa những người được bảo hiểm và doanh nghiệp bảo hiểm, chi nhánh nước ngoài có thỏa thuận khác tại hợp đồng bảo hiểm",112025,rule,0.85,"người được bảo hiểm/hợp đồng; b) Trong trường hợp hợp đồng bảo hiểm sức khỏe có nhiều người được bảo hiểm, hạn mức chi trả tối đa của Quỹ quy định tại điểm a khoản 2 Điều này được áp dụng đối với từng người được bảo hiểm, trừ trường hợp giữa những người được bảo hiểm và doanh nghiệp bảo hiểm, chi nhánh nước ngoài có thỏa thuận khác tại hợp đồng bảo hiểm. 3. Đối với hợp đồng bảo hiểm phi nhân thọ: a) Đối với hợp đồng bảo hiểm bắt buộc trách nhiệm dân sự của chủ xe cơ giới, Quỹ chi trả tối đa mức trách nhiệm của doanh nghiệp bảo hiểm, chi nhánh nước ngoài thuộc phạm vi b"
